fname,x,y,bbox_x,bbox_y,bbox_w,bbox_h,area
c869a74f1f281b6b7fe00854ef75c867a1a3e400,1234,3134,1214.0,3114.0,40.0,35.0,700.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,971,1084,951.0,1064.0,40.0,28.0,560.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,1022,1001,1003.0,981.0,31.0,31.0,480.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,989,2280,975.0,2260.0,34.0,34.0,578.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,420,3156,409.0,3144.0,26.0,23.0,299.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,386,3174,366.0,3165.0,25.0,16.0,200.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,375,3157,355.0,3157.0,36.0,20.0,360.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,415,3204,421.0,3188.0,14.0,29.0,203.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,406,3240,396.0,3226.0,24.0,28.0,336.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,720,3173,700.0,3154.0,35.0,26.0,455.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,682,2897,673.0,2886.0,21.0,23.0,241.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,938,1037,929.0,1018.0,20.0,30.0,300.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,853,1097,848.0,1091.0,24.0,26.0,312.0
c869a74f1f281b6b7fe00854ef75c867a1a3e400,851,1110,841.0,1090.0,30.0,40.0,600.0
822e75ef2010b92fe9ec0c74723448d884a258f1,479,1264,459.0,1245.0,40.0,35.0,700.0
822e75ef2010b92fe9ec0c74723448d884a258f1,727,1282,707.0,1263.0,40.0,39.0,780.0
822e75ef2010b92fe9ec0c74723448d884a258f1,458,1228,454.0,1223.0,24.0,25.0,300.0
822e75ef2010b92fe9ec0c74723448d884a258f1,571,1152,553.0,1144.0,38.0,28.0,532.0
822e75ef2010b92fe9ec0c74723448d884a258f1,611,1177,591.0,1157.0,37.0,27.0,499.0
822e75ef2010b92fe9ec0c74723448d884a258f1,587,1283,567.0,1263.0,28.0,30.0,420.0
822e75ef2010b92fe9ec0c74723448d884a258f1,506,1348,489.0,1337.0,37.0,31.0,573.0
822e75ef2010b92fe9ec0c74723448d884a258f1,488,1375,468.0,1361.0,25.0,23.0,287.0
822e75ef2010b92fe9ec0c74723448d884a258f1,634,1273,619.0,1258.0,35.0,35.0,612.0
3eda8c875559000eef653059bb28257118661b0a,3118,2138,3104.0,2118.0,23.0,19.0,218.0
3eda8c875559000eef653059bb28257118661b0a,3416,2447,3397.0,2432.0,28.0,21.0,294.0
3eda8c875559000eef653059bb28257118661b0a,2843,2343,2823.0,2328.0,23.0,35.0,402.0
3eda8c875559000eef653059bb28257118661b0a,2811,2320,2795.0,2301.0,28.0,39.0,546.0
3eda8c875559000eef653059bb28257118661b0a,3217,2399,3209.0,2391.0,28.0,28.0,392.0
3eda8c875559000eef653059bb28257118661b0a,3139,2171,3125.0,2154.0,18.0,20.0,180.0
3eda8c875559000eef653059bb28257118661b0a,2834,2105,2814.0,2087.0,36.0,27.0,486.0
3eda8c875559000eef653059bb28257118661b0a,2680,2185,2662.0,2166.0,35.0,20.0,350.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,295,929,286.0,917.0,29.0,32.0,464.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,340,924,337.0,906.0,22.0,38.0,418.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,370,950,362.0,930.0,28.0,40.0,560.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,379,902,359.0,888.0,31.0,27.0,418.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,404,896,397.0,896.0,22.0,20.0,220.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,362,986,342.0,966.0,40.0,34.0,680.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,492,941,475.0,940.0,37.0,18.0,333.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,515,673,495.0,653.0,40.0,36.0,720.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,547,865,549.0,845.0,18.0,40.0,360.0
370e07d2d1d37839f1284cd15c7773f4d08b54ce,435,1007,423.0,987.0,32.0,30.0,480.0
a58f69f6b5f7ac906d2781fde3aa77d598abdac9,1003,1364,996.0,1357.0,27.0,23.0,310.0
a58f69f6b5f7ac906d2781fde3aa77d598abdac9,1107,1383,1092.0,1368.0,35.0,31.0,542.0
a58f69f6b5f7ac906d2781fde3aa77d598abdac9,965,1668,959.0,1648.0,24.0,40.0,480.0
a58f69f6b5f7ac906d2781fde3aa77d598abdac9,961,1535,953.0,1515.0,22.0,40.0,440.0
a58f69f6b5f7ac906d2781fde3aa77d598abdac9,979,1675,959.0,1655.0,24.0,38.0,456.0
a58f69f6b5f7ac906d2781fde3aa77d598abdac9,968,1522,953.0,1505.0,30.0,37.0,555.0
a58f69f6b5f7ac906d2781fde3aa77d598abdac9,979,1662,959.0,1642.0,24.0,40.0,480.0
1a4965157dabb0b21c9497eb44cf54ad4796e4ab,1483,18,1463.0,0.0,40.0,38.0,760.0
0e322261a2ea26f96e4f655707e383988bb3ece3,4576,2158,4556.0,2138.0,36.0,31.0,558.0
0e322261a2ea26f96e4f655707e383988bb3ece3,4129,2843,4125.0,2847.0,22.0,15.0,165.0
0e322261a2ea26f96e4f655707e383988bb3ece3,4431,2794,4411.0,2797.0,27.0,17.0,229.0
